company_name,salary,year,edu,job_name,pos_count,salary_lower,salary_upper,city
Company 00092,22.5,Experience not required,Bachelor degree,Role 00019,6,15,30,Chengdu
Company 00097,5.5,Less than 1 year,Bachelor degree,Role 00023,1,3,8,Chengdu
Company 00107,30.0,1-3 years,Education not specified,Role 00029,2,20,40,Chengdu
Company 00107,30.0,1-3 years,Education not specified,Role 00030,2,20,40,Chengdu
Company 00069,20.0,3-5 years,Bachelor degree,Role 00007,2,15,25,Chengdu
Company 00113,22.5,3-5 years,Bachelor degree,Role 00034,1,15,30,Chengdu
Company 00113,22.5,3-5 years,Bachelor degree,Role 00035,6,15,30,Chengdu
Company 00178,20.0,5+ years,Bachelor degree,Java Developer,6,15,25,Chengdu
Company 00286,16.0,1-3 years,Associate degree,Java Developer,3,12,20,Chengdu
tap4fun,15.5,Fresh graduate,Education not specified,Data Analyst Engineer,1,13,18,Chengdu
Company 00201,15.0,5+ years,Bachelor degree,Role 00008,1,12,18,Chengdu
Company 00287,7.0,Experience not required,Associate degree,Role 00008,3,5,9,Chengdu
Company 00020,19.0,Experience not required,Education not specified,Role 00008,1,13,25,Chengdu
Company 00288,16.0,1-3 years,Bachelor degree,Role 00037,2,12,20,Chengdu
Company 00289,4.5,Less than 1 year,Bachelor degree,Role 00038,5,4,5,Chengdu
Company 00290,5.0,Experience not required,Bachelor degree,Role 00039,3,4,6,Chengdu
Company 00251,12.5,1-3 years,Bachelor degree,Role 00008,5,10,15,Chengdu
Company 00049,10.5,3-5 years,Bachelor degree,Role 00008,4,7,14,Chengdu
Company 00049,10.5,1-3 years,Bachelor degree,Role 00040,4,8,13,Chengdu
Company 00291,6.5,1-3 years,Associate degree,Data Analyst,6,5,8,Chengdu
Company 00292,6.0,1-3 years,Bachelor degree,Role 00008,2,4,8,Chengdu
Company 00293,6.0,3-5 years,Bachelor degree,Role 00008,3,5,7,Chengdu
Company 00294,15.0,5+ years,Bachelor degree,Role 00041,4,10,20,Chengdu
Company 00295,4.5,Experience not required,Associate degree,Role 00042,5,3,6,Chengdu
Company 00296,15.0,Experience not required,Bachelor degree,Data Analyst,4,10,20,Chengdu
Company 00297,22.5,5+ years,Bachelor degree,Data Analyst Specialist,6,15,30,Chengdu
Company 00210,17.0,3-5 years,Bachelor degree,Data Analyst Engineer,4,14,20,Chengdu
Company 00298,10.5,1-3 years,Bachelor degree,Role 00008,5,8,13,Chengdu
Company 00240,5.5,1-3 years,Bachelor degree,Data Analyst Engineer,5,4,7,Chengdu
Company 00240,6.0,1-3 years,Bachelor degree,Data Analyst Engineer,5,5,7,Chengdu
Company 00121,12.5,3-5 years,Bachelor degree,Role 00008,6,10,15,Chengdu
Company 00299,6.0,1-3 years,Bachelor degree,Role 00008,2,4,8,Chengdu
OPPO,22.5,3-5 years,Bachelor degree,Role 00043,4,15,30,Chengdu
Company 00300,2.5,Fresh graduate,Bachelor degree,Role 00044,3,2,3,Chengdu
Company 00016,16.0,3-5 years,Bachelor degree,Role 00045,6,12,20,Chengdu
Company 00178,12.5,3-5 years,Bachelor degree,Role 00008,5,10,15,Chengdu
Company 00301,5.0,Experience not required,Associate degree,Role 00008,6,4,6,Chengdu
Company 00302,12.5,1-3 years,Bachelor degree,Role 00008,5,10,15,Chengdu
Company 00112,10.5,Experience not required,Bachelor degree,Role 01519,1,8,13,Chengdu
Company 00303,6.0,3-5 years,Associate degree,Role 00038,5,4,8,Chengdu
Company 00304,6.5,1-3 years,Bachelor degree,Role 00008,6,5,8,Chengdu
Company 00124,9.5,3-5 years,Bachelor degree,Role 00008,5,9,10,Chengdu
Company 00210,18.0,5+ years,Bachelor degree,Role 00008,5,12,24,Chengdu
Company 00305,8.0,3-5 years,Bachelor degree,Role 00039,5,6,10,Chengdu
Company 00305,7.5,1-3 years,Bachelor degree,Role 00047,5,5,10,Chengdu
Company 00306,14.5,3-5 years,Bachelor degree,Role 00008,3,13,16,Chengdu
Company 00307,4.0,Less than 1 year,Associate degree,Role 00048,4,3,5,Chengdu
Company 00029,6.5,1-3 years,Associate degree,Role 00008,4,5,8,Chengdu
Company 00308,8.5,1-3 years,Associate degree,Data Analyst etl,1,7,10,Chengdu
Company 00308,8.0,1-3 years,Bachelor degree,Role 00008,2,7,9,Chengdu
Company 00241,10.0,1-3 years,Bachelor degree,Role 00008,3,8,12,Chengdu
Company 00309,7.5,Experience not required,Bachelor degree,Role 00008,6,5,10,Chengdu
Company 00310,10.5,Experience not required,Bachelor degree,Role 00008,3,10,11,Chengdu
Company 00311,15.5,3-5 years,Bachelor degree,Role 00049,2,11,20,Chengdu
Company 00312,10.5,Fresh graduate,Postgraduate,Role 00008,5,8,13,Chengdu
Company 00292,7.5,1-3 years,Bachelor degree,Role 00008,5,5,10,Chengdu
Company 00313,6.5,Less than 1 year,Postgraduate,Role 00050,5,5,8,Chengdu
Company 00299,9.5,1-3 years,Bachelor degree,Role 00051,4,7,12,Chengdu
Company 00314,2.5,Fresh graduate,Bachelor degree,Role 00052,6,2,3,Chengdu
Company 00315,22.5,5+ years,Bachelor degree,Role 00053,1,20,25,Chengdu
Company 00315,17.5,5+ years,Bachelor degree,Senior Data Analyst Engineer,4,15,20,Chengdu
Company 00199,4.5,Experience not required,Education not specified,Role 00054,6,4,5,Chengdu
Company 00304,5.0,1-3 years,Bachelor degree,Role 00055,2,4,6,Chengdu
Company 00316,30.0,5+ years,Postgraduate,Data Analyst Specialist,2,20,40,Chengdu
Company 00317,10.5,Fresh graduate,Bachelor degree,Role 00056,5,8,13,Chengdu
Company 00290,5.0,Less than 1 year,Bachelor degree,Role 00039,6,4,6,Chengdu
Company 00290,5.0,Fresh graduate,Bachelor degree,Role 00048,5,4,6,Chengdu
Company 00290,8.0,Experience not required,Postgraduate,Role 00008,6,6,10,Chengdu
BBD,10.5,1-3 years,Postgraduate,Role 00057,4,8,13,Chengdu
Company 00020,19.0,1-3 years,Bachelor degree,Role 00008,6,13,25,Chengdu
Company 00290,5.5,Fresh graduate,Bachelor degree,Role 00058,4,4,7,Chengdu
Company 00288,18.0,3-5 years,Bachelor degree,Data Analyst,5,12,24,Chengdu
BBD,10.5,1-3 years,Postgraduate,Role 00057,3,8,13,Chengdu
Company 00318,8.0,Experience not required,Bachelor degree,Role 00008,4,6,10,Chengdu
Company 00319,5.0,1-3 years,Bachelor degree,Role 00008,6,4,6,Chengdu
Company 00320,8.0,1-3 years,Bachelor degree,Role 00008,5,7,9,Chengdu
Company 00321,9.5,3-5 years,Bachelor degree,Role 00008,1,7,12,Chengdu
Company 00322,4.5,Less than 1 year,Associate degree,Role 00059,6,3,6,Chengdu
Company 00323,8.5,3-5 years,Bachelor degree,Role 00008,6,7,10,Chengdu
Company 00305,9.5,3-5 years,Bachelor degree,Role 00008,6,7,12,Chengdu
CDNCWCH,9.0,3-5 years,Bachelor degree,Role 00008,6,6,12,Chengdu
Company 00324,7.0,1-3 years,Bachelor degree,Role 00008,5,5,9,Chengdu
Company 00325,4.0,1-3 years,Associate degree,Role 00060,4,3,5,Chengdu
Company 00326,10.0,1-3 years,Bachelor degree,Data Analyst /Data Development Engineer,3,8,12,Chengdu
Company 00327,6.5,1-3 years,Bachelor degree,Data Analyst,5,5,8,Chengdu
cybercian,6.0,1-3 years,Bachelor degree,Role 00061,1,4,8,Chengdu
Company 00020,15.0,Experience not required,Bachelor degree,Role 00008,4,10,20,Chengdu
Company 00328,12.5,1-3 years,Bachelor degree,Data Analyst,3,10,15,Chengdu
Company 00329,4.0,1-3 years,Education not specified,Data Analyst,2,3,5,Chengdu
Company 00329,4.0,Experience not required,Education not specified,Data Analyst,2,3,5,Chengdu
Company 00330,4.0,Less than 1 year,Bachelor degree,Role 00008,2,3,5,Chengdu
Company 00331,9.5,3-5 years,Bachelor degree,Data Analyst Supervisor,6,7,12,Chengdu
Company 00332,5.0,1-3 years,Associate degree,Role 00038,4,4,6,Chengdu
Company 00333,8.0,1-3 years,Bachelor degree,Role 00008,5,6,10,Chengdu
Company 00334,6.5,1-3 years,Bachelor degree,Role 00008,4,5,8,Chengdu
Company 00335,4.0,Experience not required,Bachelor degree,Role 00008,1,3,5,Chengdu
Company 00336,20.0,1-3 years,Bachelor degree,Role 00008,3,15,25,Chengdu
Company 00337,3.5,Experience not required,Associate degree,Role 00062,6,3,4,Chengdu
Company 00338,9.0,3-5 years,Bachelor degree,Role 00008,5,8,10,Chengdu
BBD,2.5,Experience not required,Postgraduate,Role 00052,3,2,3,Chengdu
Company 00318,7.5,1-3 years,Bachelor degree,Role 00063,1,5,10,Chengdu
Company 00339,15.0,3-5 years,Bachelor degree,Role 00008,4,10,20,Chengdu
Company 00340,9.5,5+ years,Bachelor degree,Role 00008,5,7,12,Chengdu
Company 00299,6.0,Less than 1 year,Bachelor degree,Role 00008,1,5,7,Chengdu
Company 00307,3.5,Experience not required,Associate degree,Role 00038,2,3,4,Chengdu
Company 00341,6.5,Experience not required,Associate degree,Role 00064,5,5,8,Chengdu
Company 00299,5.5,Less than 1 year,Bachelor degree,Role 00065,6,4,7,Chengdu
Company 00342,8.5,1-3 years,Bachelor degree,Role 00066,3,7,10,Chengdu
Company 00343,7.0,1-3 years,Bachelor degree,Role 00008,5,6,8,Chengdu
Company 00344,12.5,3-5 years,Bachelor degree,Role 00008,1,10,15,Chengdu
Company 00297,2.5,Experience not required,Bachelor degree,Role 00052,2,2,3,Chengdu
Company 00345,15.0,3-5 years,Bachelor degree,Role 00008,6,10,20,Chengdu
Company 00307,5.0,Experience not required,Associate degree,Role 00067,4,4,6,Chengdu
Company 00130,8.5,Experience not required,Bachelor degree,Role 00008,4,7,10,Chengdu
Company 00346,9.0,1-3 years,Bachelor degree,Role 00068,4,8,10,Chengdu
Company 00347,7.0,Experience not required,Associate degree,Role 00008,1,6,8,Chengdu
Company 00348,4.0,Fresh graduate,Associate degree,Data Analyst,6,3,5,Chengdu
Company 00349,12.0,1-3 years,Postgraduate,Role 00069,6,9,15,Chengdu
Company 00288,10.0,3-5 years,Bachelor degree,Role 00008,5,8,12,Chengdu
Company 00350,10.0,3-5 years,Bachelor degree,Data Analyst,5,8,12,Chengdu
Company 00351,6.5,1-3 years,Bachelor degree,Role 00049,5,5,8,Chengdu
Company 00352,14.5,3-5 years,Bachelor degree,Role 00008,1,12,17,Chengdu
Company 00353,12.0,1-3 years,Bachelor degree,Data Analyst Engineer,5,8,16,Chengdu
Company 00074,11.0,1-3 years,Bachelor degree,Data Analyst Engineer,3,10,12,Chengdu
Company 00074,12.5,3-5 years,Bachelor degree,Role 00008,4,10,15,Chengdu
Company 00306,11.0,1-3 years,Bachelor degree,Role 00008,4,8,14,Chengdu
Company 00354,4.5,Less than 1 year,Associate degree,Role 00008,5,4,5,Chengdu
Company 00355,8.0,1-3 years,Bachelor degree,Role 00008,2,6,10,Chengdu
Company 00356,15.0,3-5 years,Bachelor degree,Role 00070,6,12,18,Chengdu
Company 00360,5.0,Less than 1 year,Bachelor degree,Role 00073,6,4,6,Chengdu
Company 00293,10.0,3-5 years,Bachelor degree,Role 00075,2,9,11,Chengdu
Company 00363,6.5,Experience not required,Associate degree,Role 00078,1,4,9,Chengdu
Company 00365,10.0,1-3 years,Bachelor degree,Role 00075,1,8,12,Chengdu
Company 00369,5.5,3-5 years,Bachelor degree,Role 01520,3,5,6,Chengdu
Company 00372,2.5,Experience not required,Associate degree,Role 00087,5,2,3,Chengdu
Company 00095,4.5,Experience not required,Associate degree,Role 00090,3,3,6,Chengdu
Company 00376,4.5,Less than 1 year,Associate degree,Role 00092,5,3,6,Chengdu
Company 00379,6.0,1-3 years,Bachelor degree,Role 00094,3,4,8,Chengdu
Company 00382,7.5,1-3 years,Bachelor degree,Role 00097,1,5,10,Chengdu
Company 00133,8.0,Experience not required,Bachelor degree,Role 00100,6,7,9,Chengdu
Company 00317,11.5,1-3 years,Bachelor degree,Role 01521,2,9,14,Chengdu
Company 00385,9.5,1-3 years,Bachelor degree,Role 00102,1,7,12,Chengdu
Company 00386,5.5,1-3 years,Bachelor degree,Role 00103,4,4,7,Chengdu
Company 00394,7.0,Fresh graduate,Associate degree,Role 00112,6,6,8,Chengdu
Company 00402,8.5,1-3 years,Bachelor degree,Role 00121,3,7,10,Chengdu
BBD,2.5,Experience not required,Postgraduate,Role 00131,6,2,3,Chengdu
Company 00412,6.5,3-5 years,Bachelor degree,Role 00133,3,5,8,Chengdu
Company 00417,4.5,1-3 years,Bachelor degree,Role 00138,1,3,6,Chengdu
Company 00223,15.0,Experience not required,Bachelor degree,Role 00007,5,10,20,Chengdu
Company 00422,9.0,5+ years,Associate degree,Role 00144,2,8,10,Chengdu
Company 00423,15.0,Less than 1 year,Associate degree,Role 00075,6,10,20,Chengdu
Company 00426,15.0,5+ years,Bachelor degree,Role 01522,4,10,20,Chengdu
Company 00090,15.0,5+ years,Bachelor degree,Role 00075,3,10,20,Chengdu
Company 00092,22.5,3-5 years,Bachelor degree,Role 01523,5,15,30,Chengdu
Company 00430,12.0,3-5 years,Associate degree,Role 00152,6,8,16,Chengdu
Company 00437,4.5,1-3 years,Education not specified,Role 00160,3,3,6,Chengdu
Company 00439,9.0,Experience not required,Associate degree,Role 00075,3,8,10,Chengdu
Company 00443,3.0,Experience not required,Education not specified,Role 00138,2,2,4,Chengdu
Company 00445,3.5,Less than 1 year,Education not specified,Role 00138,2,3,4,Chengdu
Company 00365,7.5,1-3 years,Bachelor degree,Role 00075,3,5,10,Chengdu
Company 00026,22.5,3-5 years,Bachelor degree,Role 00075,2,15,30,Chengdu
Company 00448,9.0,3-5 years,Bachelor degree,Role 00075,3,8,10,Chengdu
Company 00201,22.5,3-5 years,Bachelor degree,Role 00075,2,15,30,Chengdu
Company 00147,20.0,Experience not required,Education not specified,Role 00075,3,15,25,Chengdu
Company 00449,16.0,3-5 years,Bachelor degree,Role 00075,3,11,21,Chengdu
Company 00450,12.5,3-5 years,Bachelor degree,Role 00075,6,10,15,Chengdu
Company 00451,12.5,1-3 years,Associate degree,Role 00204,2,10,15,Chengdu
Company 00451,12.5,3-5 years,Education not specified,Role 00167,1,10,15,Chengdu
Company 00175,17.5,1-3 years,Bachelor degree,Role 00075,3,15,20,Chengdu
Company 00452,18.0,3-5 years,Bachelor degree,Role 00075,4,12,24,Chengdu
Company 00453,6.0,1-3 years,Bachelor degree,Role 00075,3,4,8,Chengdu
Company 00451,17.5,3-5 years,Associate degree,Role 00168,6,15,20,Chengdu
Company 00454,20.0,3-5 years,Bachelor degree,Role 00075,5,15,25,Chengdu
Company 00455,11.5,5+ years,Bachelor degree,Role 00075,2,9,14,Chengdu
Company 00248,9.0,Less than 1 year,Bachelor degree,Role 00075,1,8,10,Chengdu
Company 00451,11.5,1-3 years,Associate degree,Role 00075,2,9,14,Chengdu
Company 00456,7.5,Fresh graduate,Associate degree,Role 00075,3,5,10,Chengdu
Company 00020,20.0,3-5 years,Bachelor degree,Role 00075,1,15,25,Chengdu
Company 00150,22.5,3-5 years,Bachelor degree,Role 00169,6,15,30,Chengdu
Company 00020,16.0,1-3 years,Bachelor degree,Role 00170,4,12,20,Chengdu
Company 00457,15.5,3-5 years,Bachelor degree,Role 00075,2,11,20,Chengdu
Company 00458,11.5,1-3 years,Bachelor degree,Role 00094,6,9,14,Chengdu
Company 00121,12.5,3-5 years,Bachelor degree,Role 00171,4,10,15,Chengdu
Company 00075,24.0,5+ years,Bachelor degree,Role 00168,1,18,30,Chengdu
Company 00459,8.0,1-3 years,Bachelor degree,Role 00075,6,6,10,Chengdu
Company 00453,15.0,3-5 years,Bachelor degree,Role 00168,6,12,18,Chengdu
Company 00460,9.0,3-5 years,Associate degree,Role 00075,2,8,10,Chengdu
Company 00461,15.0,3-5 years,Bachelor degree,Role 00172,1,12,18,Chengdu
Company 00154,16.0,3-5 years,Bachelor degree,Role 00075,4,12,20,Chengdu
Company 00154,12.5,1-3 years,Bachelor degree,Role 00173,2,10,15,Chengdu
Company 00462,10.5,3-5 years,Bachelor degree,Role 00075,2,8,13,Chengdu
Company 00020,20.0,Experience not required,Bachelor degree,Role 00075,4,15,25,Chengdu
Company 00314,26.5,3-5 years,Bachelor degree,Role 00075,1,18,35,Chengdu
OPPO,22.5,3-5 years,Bachelor degree,Role 00075,5,15,30,Chengdu
Company 00463,12.5,3-5 years,Bachelor degree,Role 00075,3,10,15,Chengdu
Company 00201,21.5,3-5 years,Bachelor degree,Role 00170,5,18,25,Chengdu
Company 00464,12.5,1-3 years,Bachelor degree,Role 00075,5,10,15,Chengdu
Company 00465,11.0,Experience not required,Bachelor degree,Role 00075,2,10,12,Chengdu
Company 00466,12.5,Experience not required,Education not specified,Role 00075,1,10,15,Chengdu
Company 00167,10.5,1-3 years,Associate degree,Role 00075,4,8,13,Chengdu
Company 00467,14.0,3-5 years,Bachelor degree,Role 00174,4,10,18,Chengdu
Company 00468,10.5,3-5 years,Associate degree,Role 00075,5,8,13,Chengdu
Company 00124,6.5,1-3 years,Associate degree,Role 00075,6,6,7,Chengdu
Company 00469,15.0,3-5 years,Bachelor degree,Role 00075,5,12,18,Chengdu
Company 00123,17.5,5+ years,Bachelor degree,Role 00168,1,15,20,Chengdu
Company 00470,16.5,5+ years,Bachelor degree,Role 00075,4,13,20,Chengdu
Company 00471,9.0,Experience not required,Bachelor degree,Role 00075,6,6,12,Chengdu
Company 00472,12.0,3-5 years,Bachelor degree,Role 00075,4,8,16,Chengdu
Company 00473,10.5,Experience not required,Bachelor degree,Role 00075,3,8,13,Chengdu
Company 00205,16.0,3-5 years,Bachelor degree,Role 00073,5,12,20,Chengdu
Company 00299,10.0,1-3 years,Bachelor degree,Role 00075,1,8,12,Chengdu
Company 00474,12.5,3-5 years,Bachelor degree,Role 00075,1,10,15,Chengdu
Company 00475,19.0,5+ years,Bachelor degree,Role 00075,1,13,25,Chengdu
Company 00476,9.0,3-5 years,Bachelor degree,Role 00075,3,8,10,Chengdu
Company 00477,9.5,1-3 years,Postgraduate,Role 00075,3,7,12,Chengdu
Company 00478,12.5,1-3 years,Bachelor degree,Role 00075,6,10,15,Chengdu
Company 00479,8.0,1-3 years,Associate degree,Role 00075,6,6,10,Chengdu
Company 00458,8.0,1-3 years,Bachelor degree,Role 00075,4,6,10,Chengdu
Company 00480,8.5,3-5 years,Bachelor degree,Role 00075,1,6,11,Chengdu
Company 00478,20.0,3-5 years,Bachelor degree,Role 00175,6,15,25,Chengdu
Company 00009,11.5,3-5 years,Bachelor degree,Role 00075,4,9,14,Chengdu
Company 00481,7.5,3-5 years,Associate degree,Role 00075,1,7,8,Chengdu
Company 00482,6.5,3-5 years,Associate degree,Role 00075,1,6,7,Chengdu
